employeeNumber,firstName,lastName,preferredName,email,phone,idType,idNumber,passportNumber,nationality,dateOfBirth,gender,maritalStatus,taxNumber,jobTitle,department,branch,employmentType,startDate,location,managerEmail,annualGross,payFrequency,travelAllowance,housingAllowance,pensionContributionPct,medicalAid,retirementAnnuity,bank,accountNumber,branchCode,accountType,address,emergencyName,emergencyRelationship,emergencyPhone,nextOfKinName,nextOfKinRelationship,nextOfKinAddress,equityRace,equityGender,occupationalLevel,foreignNational,hasDisability
,Pieter,van der Merwe,Pieter,pieter.vandermerwe@ironwoodfreight.co.za,081 200 1000,sa_id,7907255081084,,,,,married,1000000000,Operations Director,Operations,Johannesburg HQ,full_time,2017-06-15,Johannesburg,,660000,monthly,0,0,7.5,3000,0,First National Bank,62100000000,250655,Savings,"10 Acacia Road, Johannesburg",Contact van der Merwe,Spouse,072 300 2000,,,,white,male,top_management,no,no
,Nomsa,Dlamini,Nomsa,nomsa.dlamini@ironwoodfreight.co.za,082 201 1013,sa_id,8803120812085,,,,,single,1098765432,HR Manager,Admin,Johannesburg HQ,full_time,2019-02-01,Johannesburg,,456000,monthly,0,0,7.5,2500,0,Capitec Bank,15107654321,470010,Cheque,"11 Acacia Road, Johannesburg",Contact Dlamini,Spouse,073 301 2007,,,,african,female,senior_management,no,no
,Aisha,Patel,Aisha,aisha.patel@ironwoodfreight.co.za,081 202 1026,sa_id,9511031234088,,,,,single,1197530864,Office Administrator,Admin,Johannesburg HQ,full_time,2022-03-01,Johannesburg,nomsa.dlamini@ironwoodfreight.co.za,222000,monthly,2000,0,0,0,0,Standard Bank,10115308642,051001,Cheque,"12 Acacia Road, Johannesburg",Contact Patel,Spouse,074 302 2014,,,,indian,female,skilled_technical,no,no
,Zinhle,Khumalo,Zinhle,zinhle.khumalo@ironwoodfreight.co.za,082 203 1039,sa_id,9306142201088,,,,,married,1296296296,Payroll Clerk,Admin,Johannesburg HQ,full_time,2022-03-01,Johannesburg,nomsa.dlamini@ironwoodfreight.co.za,264000,monthly,0,0,0,0,0,Nedbank,10122962963,198765,Cheque,"13 Acacia Road, Johannesburg",Contact Khumalo,Spouse,072 303 2021,,,,african,female,skilled_technical,no,no
,Refilwe,Mokoena,Refilwe,refilwe.mokoena@ironwoodfreight.co.za,081 204 1052,sa_id,9102083315080,,,,,single,1395061728,Accounts Clerk,Admin,Johannesburg HQ,full_time,2022-03-01,Johannesburg,nomsa.dlamini@ironwoodfreight.co.za,240000,monthly,0,0,0,0,0,Absa Bank,10130617284,632005,Savings,"14 Acacia Road, Johannesburg",Contact Mokoena,Spouse,073 304 2028,,,,african,female,skilled_technical,no,no
,Riaan,Pretorius,Riaan,riaan.pretorius@ironwoodfreight.co.za,082 205 1065,sa_id,8405195540086,,,,,single,1493827160,Fleet Coordinator,Admin,Johannesburg HQ,full_time,2022-03-01,Johannesburg,nomsa.dlamini@ironwoodfreight.co.za,312000,monthly,1500,0,0,0,0,First National Bank,62138271605,250655,Cheque,"15 Acacia Road, Johannesburg",Contact Pretorius,Spouse,074 305 2035,,,,white,male,skilled_technical,no,no
,Chantelle,Adams,Chantelle,chantelle.adams@ironwoodfreight.co.za,081 206 1078,sa_id,9607224102080,,,,,married,1592592592,Receptionist,Admin,Johannesburg HQ,full_time,2022-03-01,Johannesburg,nomsa.dlamini@ironwoodfreight.co.za,180000,monthly,0,0,0,0,0,Capitec Bank,15145925926,470010,Cheque,"16 Acacia Road, Johannesburg",Contact Adams,Spouse,072 306 2042,,,,coloured,female,unskilled,no,no
,Thabo,Sithole,Thabo,thabo.sithole@ironwoodfreight.co.za,082 207 1091,sa_id,8209105119084,,,,,single,1691358024,Depot Supervisor,Operations,Durban depot,full_time,2020-05-01,Durban,pieter.vandermerwe@ironwoodfreight.co.za,348000,monthly,0,0,7.5,0,0,Standard Bank,10153580247,051001,Cheque,"17 Acacia Road, Durban",Contact Sithole,Spouse,073 307 2049,,,,african,male,senior_management,no,no
,Andile,Ngcobo,Andile,andile.ngcobo@ironwoodfreight.co.za,081 208 1104,sa_id,8904035233084,,,,,single,1790123456,Logistics Planner,Operations,Durban depot,full_time,2020-05-01,Durban,pieter.vandermerwe@ironwoodfreight.co.za,300000,monthly,0,0,7.5,0,0,Nedbank,10161234568,198765,Savings,"18 Acacia Road, Durban",Contact Ngcobo,Spouse,074 308 2056,,,,african,male,professional_mid,no,no
,Sipho,Nkosi,Sipho,sipho.nkosi@ironwoodfreight.co.za,082 209 1117,sa_id,9206185327081,,,,,married,1888888888,Driver,Operations,Durban depot,full_time,2021-01-11,Durban,pieter.vandermerwe@ironwoodfreight.co.za,166400,weekly,0,0,0,0,0,Absa Bank,10168888889,632005,Cheque,"19 Acacia Road, Durban",Contact Nkosi,Spouse,072 309 2063,,,,african,male,semi_skilled,no,no
,Johannes,Botha,Johannes,johannes.botha@ironwoodfreight.co.za,081 210 1130,sa_id,8502095019086,,,,,single,1987654320,Driver,Operations,Durban depot,full_time,2021-02-12,Durban,pieter.vandermerwe@ironwoodfreight.co.za,156000,weekly,0,0,0,0,0,First National Bank,62176543210,250655,Cheque,"20 Acacia Road, Durban",Contact Botha,Spouse,073 310 2070,,,,white,male,semi_skilled,no,no
,Bongani,Cele,Bongani,bongani.cele@ironwoodfreight.co.za,082 211 1143,sa_id,8807255401085,,,,,single,2086419752,Driver,Operations,Durban depot,full_time,2021-03-11,Durban,pieter.vandermerwe@ironwoodfreight.co.za,145600,weekly,0,0,0,0,0,Capitec Bank,15184197531,470010,Cheque,"21 Acacia Road, Durban",Contact Cele,Spouse,074 311 2077,,,,african,male,semi_skilled,no,no
,Musa,Mthembu,Musa,musa.mthembu@ironwoodfreight.co.za,081 212 1156,sa_id,9001125088087,,,,,married,2185185184,Driver,Operations,Durban depot,full_time,2021-04-12,Durban,pieter.vandermerwe@ironwoodfreight.co.za,145600,weekly,0,0,0,0,0,Standard Bank,10191851852,051001,Savings,"22 Acacia Road, Durban",Contact Mthembu,Spouse,072 312 2084,,,,african,male,semi_skilled,no,no
,Tebogo,Molefe,Tebogo,tebogo.molefe@ironwoodfreight.co.za,082 213 1169,sa_id,8709305644088,,,,,single,2283950616,Driver,Operations,Durban depot,full_time,2021-05-11,Durban,pieter.vandermerwe@ironwoodfreight.co.za,150800,weekly,0,0,0,0,0,Nedbank,10199506173,198765,Cheque,"23 Acacia Road, Durban",Contact Molefe,Spouse,073 313 2091,,,,african,male,semi_skilled,no,no
,Katlego,Zulu,Katlego,katlego.zulu@ironwoodfreight.co.za,081 214 1182,sa_id,9505065210089,,,,,single,2382716048,Driver,Operations,Durban depot,full_time,2021-06-12,Durban,pieter.vandermerwe@ironwoodfreight.co.za,140400,weekly,0,0,0,0,0,Absa Bank,10207160494,632005,Cheque,"24 Acacia Road, Durban",Contact Zulu,Spouse,074 314 2098,,,,african,male,semi_skilled,no,yes
,Kagiso,Mahlangu,Kagiso,kagiso.mahlangu@ironwoodfreight.co.za,082 215 1195,sa_id,8308175777084,,,,,married,2481481480,Driver,Operations,Durban depot,full_time,2021-07-11,Durban,pieter.vandermerwe@ironwoodfreight.co.za,156000,weekly,0,0,0,0,0,First National Bank,62214814815,250655,Cheque,"25 Acacia Road, Durban",Contact Mahlangu,Spouse,072 315 2105,,,,african,male,semi_skilled,no,no
,Lwazi,Ngcobo,Lwazi,lwazi.ngcobo@ironwoodfreight.co.za,081 216 1208,sa_id,9102215133088,,,,,single,2580246912,Driver,Operations,Durban depot,full_time,2021-08-12,Durban,pieter.vandermerwe@ironwoodfreight.co.za,145600,weekly,0,0,0,0,0,Capitec Bank,15222469136,470010,Savings,"26 Acacia Road, Durban",Contact Ngcobo,Spouse,073 316 2112,,,,african,male,semi_skilled,no,no
,Thabo,Jacobs,Thabo,thabo.jacobs@ironwoodfreight.co.za,082 217 1221,sa_id,8606045399082,,,,,single,2679012344,Driver,Operations,Durban depot,full_time,2021-09-11,Durban,pieter.vandermerwe@ironwoodfreight.co.za,150800,weekly,0,0,0,0,0,Standard Bank,10230123457,051001,Cheque,"27 Acacia Road, Durban",Contact Jacobs,Spouse,074 317 2119,,,,coloured,male,semi_skilled,no,no
,Andile,Fourie,Andile,andile.fourie@ironwoodfreight.co.za,081 218 1234,sa_id,9401285055084,,,,,married,2777777776,Driver,Operations,Durban depot,full_time,2021-01-12,Durban,pieter.vandermerwe@ironwoodfreight.co.za,140400,weekly,0,0,0,0,0,Nedbank,10237777778,198765,Cheque,"28 Acacia Road, Durban",Contact Fourie,Spouse,072 318 2126,,,,white,male,semi_skilled,no,no
,Musa,Sithole,Musa,musa.sithole@ironwoodfreight.co.za,082 219 1247,sa_id,8910155288089,,,,,single,2876543208,Driver,Operations,Durban depot,full_time,2021-02-11,Durban,pieter.vandermerwe@ironwoodfreight.co.za,145600,weekly,0,0,0,0,0,Absa Bank,10245432099,632005,Cheque,"29 Acacia Road, Durban",Contact Sithole,Spouse,073 319 2133,,,,african,male,semi_skilled,no,no
,Bongani,Khumalo,Bongani,bongani.khumalo@ironwoodfreight.co.za,081 220 1260,sa_id,8203035911082,,,,,single,2975308640,Driver,Operations,Durban depot,full_time,2021-03-12,Durban,pieter.vandermerwe@ironwoodfreight.co.za,156000,weekly,0,0,0,0,0,First National Bank,62253086420,250655,Savings,"30 Acacia Road, Durban",Contact Khumalo,Spouse,074 320 2140,,,,african,male,semi_skilled,no,no
,Sipho,Cele,Sipho,sipho.cele@ironwoodfreight.co.za,082 221 1273,sa_id,9309095142085,,,,,married,3074074072,Driver,Operations,Durban depot,full_time,2021-04-11,Durban,pieter.vandermerwe@ironwoodfreight.co.za,145600,weekly,0,0,0,0,0,Capitec Bank,15260740741,470010,Cheque,"31 Acacia Road, Durban",Contact Cele,Spouse,072 321 2147,,,,african,male,semi_skilled,no,no
,Kagiso,Reddy,Kagiso,kagiso.reddy@ironwoodfreight.co.za,081 222 1286,sa_id,8712075366080,,,,,single,3172839504,Driver,Operations,Durban depot,full_time,2021-05-12,Durban,pieter.vandermerwe@ironwoodfreight.co.za,150800,weekly,0,0,0,0,0,Standard Bank,10268395062,051001,Cheque,"32 Acacia Road, Durban",Contact Reddy,Spouse,073 322 2154,,,,indian,male,semi_skilled,no,no
,Tebogo,Nkosi,Tebogo,tebogo.nkosi@ironwoodfreight.co.za,082 223 1299,sa_id,9008305477089,,,,,single,3271604936,Driver,Operations,Durban depot,full_time,2021-06-11,Durban,pieter.vandermerwe@ironwoodfreight.co.za,145600,weekly,0,0,0,0,0,Nedbank,10276049383,198765,Cheque,"33 Acacia Road, Durban",Contact Nkosi,Spouse,074 323 2161,,,,african,male,semi_skilled,no,no
,Riaan,Botha,Riaan,riaan.botha@ironwoodfreight.co.za,081 224 1312,sa_id,8411195622080,,,,,married,3370370368,Driver,Operations,Durban depot,full_time,2021-07-12,Durban,pieter.vandermerwe@ironwoodfreight.co.za,156000,weekly,0,0,0,0,0,Absa Bank,10283703704,632005,Savings,"34 Acacia Road, Durban",Contact Botha,Spouse,072 324 2168,,,,white,male,semi_skilled,no,no
